in s,C1 in V
-5.9410503E+00,5.32227E-02
-5.9409586E+00,6.88477E-02
-5.9408670E+00,5.81055E-02
-5.9407753E+00,5.61523E-02
-5.9406836E+00,6.68945E-02
-5.9405920E+00,6.20117E-02
-5.9405003E+00,6.29883E-02
-5.9404087E+00,5.81055E-02
-5.9403170E+00,6.29883E-02
-5.9402254E+00,5.51758E-02
-5.9401337E+00,6.00586E-02
-5.9400420E+00,6.00586E-02
-5.9399504E+00,6.39648E-02
-5.9398587E+00,5.90820E-02
-5.9397671E+00,5.81055E-02
-5.9396754E+00,5.71289E-02
-5.9395838E+00,5.90820E-02
-5.9394921E+00,6.39648E-02
-5.9394005E+00,6.10352E-02
-5.9393088E+00,6.59180E-02
-5.9392171E+00,6.68945E-02
-5.9391255E+00,5.51758E-02
-5.9390338E+00,5.81055E-02
-5.9389422E+00,5.90820E-02
-5.9388505E+00,5.90820E-02
-5.9387589E+00,6.29883E-02
-5.9386672E+00,5.71289E-02
-5.9385756E+00,5.81055E-02
-5.9384839E+00,5.51758E-02
-5.9383922E+00,5.81055E-02
-5.9383006E+00,5.71289E-02
-5.9382089E+00,6.00586E-02
-5.9381173E+00,6.20117E-02
-5.9380256E+00,6.39648E-02
-5.9379340E+00,6.10352E-02
-5.9378423E+00,6.20117E-02
-5.9377506E+00,6.39648E-02
-5.9376590E+00,5.71289E-02
-5.9375673E+00,5.71289E-02
-5.9374757E+00,6.49414E-02
-5.9373840E+00,5.22461E-02
-5.9372924E+00,6.78711E-02
-5.9372007E+00,5.41992E-02
-5.9371091E+00,5.32227E-02
-5.9370174E+00,5.90820E-02
-5.9369257E+00,5.90820E-02
-5.9368341E+00,6.00586E-02
-5.9367424E+00,6.29883E-02
-5.9366508E+00,5.90820E-02
-5.9365591E+00,6.88477E-02
-5.9364675E+00,6.10352E-02
-5.9363758E+00,5.61523E-02
-5.9362842E+00,5.51758E-02
-5.9361925E+00,5.22461E-02
-5.9361008E+00,6.49414E-02
-5.9360092E+00,6.20117E-02
-5.9359175E+00,6.29883E-02
-5.9358259E+00,5.90820E-02
-5.9357342E+00,6.20117E-02
-5.9356426E+00,5.81055E-02
-5.9355509E+00,6.10352E-02
-5.9354592E+00,6.39648E-02
-5.9353676E+00,6.39648E-02
-5.9352759E+00,6.00586E-02
-5.9351843E+00,6.29883E-02
-5.9350926E+00,5.90820E-02
-5.9350010E+00,6.10352E-02
-5.9349093E+00,5.41992E-02
-5.9348177E+00,6.10352E-02
-5.9347260E+00,6.00586E-02
-5.9346343E+00,6.39648E-02
-5.9345427E+00,6.59180E-02
-5.9344510E+00,6.29883E-02
-5.9343594E+00,6.10352E-02
-5.9342677E+00,6.39648E-02
-5.9341761E+00,6.20117E-02
-5.9340844E+00,6.29883E-02
-5.9339928E+00,5.71289E-02
-5.9339011E+00,6.00586E-02
-5.9338094E+00,6.20117E-02
-5.9337178E+00,5.51758E-02
-5.9336261E+00,5.90820E-02
-5.9335345E+00,5.51758E-02
-5.9334428E+00,6.29883E-02
-5.9333512E+00,6.29883E-02
-5.9332595E+00,6.00586E-02
-5.9331678E+00,6.20117E-02
-5.9330762E+00,5.90820E-02
-5.9329845E+00,6.88477E-02
-5.9328929E+00,6.00586E-02
-5.9328012E+00,6.00586E-02
-5.9327096E+00,6.39648E-02
-5.9326179E+00,4.44336E-02
-5.9325263E+00,6.10352E-02
-5.9324346E+00,6.29883E-02
-5.9323429E+00,5.22461E-02
-5.9322513E+00,5.90820E-02
-5.9321596E+00,5.51758E-02
-5.9320680E+00,6.59180E-02
-5.9319763E+00,6.00586E-02
-5.9318847E+00,6.29883E-02
-5.9317930E+00,7.08008E-02
-5.9317014E+00,6.20117E-02
-5.9316097E+00,5.81055E-02
-5.9315180E+00,6.10352E-02
-5.9314264E+00,5.81055E-02
-5.9313347E+00,6.10352E-02
-5.9312431E+00,6.20117E-02
-5.9311514E+00,5.81055E-02
-5.9310598E+00,6.00586E-02
-5.9309681E+00,6.29883E-02
-5.9308764E+00,6.29883E-02
-5.9307848E+00,6.29883E-02
-5.9306931E+00,5.51758E-02
-5.9306015E+00,5.02930E-02
-5.9305098E+00,6.39648E-02
-5.9304182E+00,6.49414E-02
-5.9303265E+00,6.29883E-02
-5.9302349E+00,6.20117E-02
-5.9301432E+00,6.00586E-02
-5.9300515E+00,6.10352E-02
-5.9299599E+00,6.20117E-02
-5.9298682E+00,6.10352E-02
-5.9297766E+00,5.71289E-02
-5.9296849E+00,6.10352E-02
-5.9295933E+00,5.61523E-02
-5.9295016E+00,6.68945E-02
-5.9294100E+00,6.39648E-02
-5.9293183E+00,6.10352E-02
-5.9292266E+00,5.51758E-02
-5.9291350E+00,5.41992E-02
-5.9290433E+00,5.71289E-02
-5.9289517E+00,5.02930E-02
